isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia,central_opac_link,mathlib_opac_link
4839965366,ARの教科書,DieterSchmalstieg／著 TobiasHollerer／著 池田聖／編集 ほか,マイナビ出版,20180730,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26535401,
4894347326,身体の歴史,"Corbin,Alain／著 Courtine,Jean-Jacques／著 Vigarello,Georges／著 ほか",藤原書店,2010-03,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB01562914,
4890134670,異常心理学大事典,"M.E.P.セリグマン, E.F.ウォーカー, D.L.ローゼンハン 著,上里一郎, 瀬戸正弘, 三浦正江 監訳,Seligman, Martin E. P, 1942-,Walker, Elaine F,Rosenhan, David L,上里, 一郎, 1933-2011,瀬戸, 正弘, 1966-,三浦, 正江, 1969-,",西村書店,"Thu, 08 Sep 2016 09:00:00 +0900",Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB21922863,
4784219676,説話研究を拓く,倉本一宏／編集,思文閣出版,20190307,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27944574,
4480081976,英文翻訳術,"安西徹雄 著,安西, 徹雄, 1933-2008,",筑摩書房,"Mon, 23 Mar 2009 09:00:00 +0900",Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN12502351,
4794215185,訴えられた遊女ネアイラ : 古代ギリシャのスキャンダラスな裁判騒動,"Hamel,Debra／著 脇本由佳／著 藤川芳朗／翻訳 ハメルデブラ／著",草思社,2006-08,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA78198930,
4791771419,記号とシンボルの事典,スティーヴン・ウェッブ／著 松浦俊輔／翻訳,青土社,20190126,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27687030,
4896948181,西洋シンボル事典 : キリスト教美術の記号とイメージ,"Heinz-Mohr,Gerd／著 佐藤茂樹／翻訳 内田俊一／翻訳 宮川尚理／翻訳 ほか",八坂書房,2003-06,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA62887813,
4562051256,フォト・ストーリー　英国の幽霊伝説,シャーン・エヴァンズ／著 村上リコ／監修・翻訳 田口未和／翻訳,原書房,20150126,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1794831X,
4480095349,数学で何が重要か,志村五郎／著,筑摩書房,20130508,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB12393422,
4480094393,数学の好きな人のために :  続・数学をいかに使うか,"志村五郎著,志村, 五郎,",筑摩書房,,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB08282144,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=4480094393&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4480093257,数学をいかに使うか,"志村五郎 著,志村, 五郎, 1930-2019,",筑摩書房,"Wed, 15 May 2019 09:00:00 +0900",Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB04212431,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=4480093257&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4805753293,続　　剣と愛と 中世ロマニアの文学,中央大学人文科学研究所／編,中央大学出版部,20061109,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA68316713,
4807909312,続 狂気の科学,R.U.Schneider／著 石浦章一／監修 大塚仁子／著 原田公夫／翻訳,東京化学同人,20180312,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18708741,
