bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date
https://bookmeter.com/books/13667171,4106108097,パスタぎらい 809 (新潮新書),"ヤマザキ,マリ,1967-",新潮社,201904
https://bookmeter.com/books/9293864,4860112679,本で床は抜けるのか,"西牟田,靖,1970-",本の雑誌社,201503
https://bookmeter.com/books/456608,416741404X,美味礼讃 (文春文庫),"海老沢,泰久,1950-2009",文芸春秋,199405
https://bookmeter.com/books/13199303,4534056478,独学で歴史家になる方法,"礫川,全次,1949-",日本実業出版社,201811
https://bookmeter.com/books/277050,4641067945,ゲーム理論,"岡田,章,1954-",有斐閣,199612
https://bookmeter.com/books/373139,4532133467,ゼミナールゲーム理論入門,"渡辺,隆裕,1964-",日本経済新聞出版社,200804
https://bookmeter.com/books/14572016,B07XHJMLQV,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD
https://bookmeter.com/books/9258126,4839952957,プログラミングコンテスト攻略のためのアルゴリズムとデータ構造,"渡部,有隆,1979-",マイナビ,201501
https://bookmeter.com/books/467420,4480088849,性愛の日本中世,田中貴子／著,筑摩書房,20041101
https://bookmeter.com/books/15682706,448009976X,民間信仰 サ－２９－２ (ちくま学芸文庫),桜井徳太郎／著,筑摩書房,20200513
https://bookmeter.com/books/253328,4003394224,パロマーの巨人望遠鏡 下 / 岩波文庫,"Woodbury, David Oakes, 1896-,関, 正雄, 1886-1978,湯沢, 博,成相, 恭二, 1937-,D.O.ウッドベリー 著,関正雄, 湯澤博, 成相恭二 訳",岩波書店,"Sat, 2 May 2015 07:12:32 +0900"
https://bookmeter.com/books/65992,4792217083,誤訳の構造,"中原,道喜",聖文新社,200304
https://bookmeter.com/books/634456,4309205496,神曲 : 完全版,"DanteAlighieri,1265-1321 平川,祐弘,1931- Doré,Gustave,1832-1883",河出書房新社,201008
https://bookmeter.com/books/14725705,4480099603,図説　探検地図の歴史 すー２２－１ (ちくま学芸文庫),R.A.スケルトン／著 増田義郎／翻訳 信岡奈生／翻訳,筑摩書房,20191209
https://bookmeter.com/books/4751327,486061335X,ケガレとしての花嫁 : 異界交流論序説 : 普及版,"近藤,直也,1954-",鉱脈社,200910
https://bookmeter.com/books/7118101,4102159762,代替医療解剖 シ-37-6 (新潮文庫),"Singh,Simon,1967- Ernst,Edzard 青木,薫,1956-",新潮社,201309
https://bookmeter.com/books/251525,4003304632,仙境異聞・勝五郎再生記聞,平田篤胤／著 子安宣邦／著,岩波書店,20000114
