isbn_or_asin,book_title,author,publisher,published_date,sophia_opac,sophia_mathlib_opac
4780608600,現代数理統計学 = Modern Mathematical STATISTICS,"竹村,彰通,1952-",学術図書出版社,202011,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC04123055,
4106109697,ドーパミン中毒 969 (新潮新書),"Lembke,Anna,1967- 恩蔵,絢子",新潮社,202210,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC17153897,
4480017925,漫画家が見た　百年前の西洋 ２７３ (筑摩選書),和田博文／本文,筑摩書房,20240216,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05673150,
4861827116,ヴィクトリア朝怪異譚,ウィルキー・コリンズ／著 ジョージ・エリオット／著 メアリ・エリザベス・ブラッドン／著 ほか,作品社,20180829,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26839166,
4315523402,犯罪学 (サイエンス超簡潔講座),"Newburn,Tim 岡邊,健,1975- 大庭,有美 林,カオリ",ニュートンプレス,202103,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC0558096X,
4087213080,カレー移民の謎 : 日本を制覇する「インネパ」 1208. ノンフィクション (集英社新書),"室橋,裕和,1974-",集英社,202403,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06080518,
4326103353,人工知能の哲学入門,"鈴木,貴之,1973-",勁草書房,202402,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05889579,
4254111290,数論〈未解決問題〉の事典,"Guy,RichardK,1916- 金光,滋",朝倉書店,201011,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB03840982,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784254111293&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
478060852X,統計学実践ワークブック,,学術図書出版社,202005,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=478060852X,
4003117530,酒道楽 (岩波文庫),"村井,弦斎,1863-1927",岩波書店,200612,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA79707836,
4562074043,読めない人が「読む」世界 : 読むことの多様性,"Rubery,Matthew 片桐,晶",原書房,202403,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05975025,
